id,nomeUrna,nomeCompleto,numero,partido_sigla,nomeColigacao,cargo_nome,cargo_codigo,ufCandidatura,descricaoSituacao,descricaoTotalizacao,candidatoApto,st_REELEICAO,gastoCampanha,eleicao_ano,coletado_em,fonte_url
10002544540,ADAILTON CRUZ,JOSE ADAILTON CRUZ PEREIRA,44222,UNIÃO,FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP),Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002538249,ADALBERTO SOUZA,ADALBERTO SOUZA DE ALMEIDA,36123,AGIR,AGIR,Deputado Estadual,7,AC,Indeferido,Concorrendo,False,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002533993,ADELINA SOUZA,ADELINA SOUZA DE LIMA,30800,NOVO,NOVO,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002545662,ADRIANA ALMEIDA,ADRIANA DA SILVA ALMEIDA,22123,PL,PL,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002544522,AFONSO FERNANDES,JOSE AFONSO VASCONCELOS FERNANDES,44123,UNIÃO,FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP),Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002532441,ALEX ASFURI,ALEX DE ARRUDA ASFURI,15100,MDB,MDB,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002533988,ALINE AGUIAR,FRANCISCA ALINEHELEN PEREIRA AGUIAR GONÇALVES,30115,NOVO,NOVO,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002553977,ALYNE VITÓRIA,ALYNE VITÓRIA FERREIRA ARAÚJO,20888,PODE,PODE,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002544036,AMARAL DO GELO,ANTONIO TORRES AMARAL,45022,PSDB,FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA),Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002544520,ANA LETÍCIA,ANA LETICIA SOBRINHO PEREIRA GONÇALVES,11125,PP,FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP),Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002533989,ANA PAULA BARROSO,ANA PAULA DA SILVA BARROSO,30900,NOVO,NOVO,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002550650,ANA PAULA FEITOSA,ANA PAULA RODRIGUES FEITOSA DO NASCIMENTO,12131,PDT,PDT,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002552389,ANDREIA LIMA,ANDREIA NASCIMENTO DE LIMA,77123,SOLIDARIEDADE,FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA(PRD/SOLIDARIEDADE),Deputado Estadual,7,AC,Renúncia,Concorrendo,False,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002552002,ANDRÉ ARIOSTO,ANDRÉ GUSTAVO MARQUES MIGUEIS,15131,MDB,MDB,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002552005,ANDRÉ COCADA,ANDRE ARAUJO DO NASCIMENTO,15222,MDB,MDB,Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
10002544524,ANDRÉ DA DROGA VALE,ANDRE ROBERTO ROGERIO VALE DOS SANTOS,11444,PP,FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP),Deputado Estadual,7,AC,Deferido,Concorrendo,True,False,0.0,2026,2026-09-07T19:44:03-03:00,https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/listar/2026/AC/20322002026/7/candidatos
